Спеціальність;укр. мова;математика;історія України;іноземна мова;біологія;фізика;хімія;укр. літ.;географія;творчий конкурс;галузевий коефіцієнт
A5.39 Професійна освіта (Цифрові технології);0,35;0,5;0,25;0,3;0,3;0,4;0,4;0,2;0,25;;1,02
B2 Дизайн;0,25;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,6;
B11 Філологія;0,4;0,3;0,3;0,5;0,2;0,3;0,3;0,4;0,3;;
C1 Економіка;0,35;0,4;0,25;0,25;0,2;0,3;0,3;0,25;0,35;;
C3 Міжнародні відносини;0,45;0,4;0,4;0,5;0,2;0,3;0,3;0,3;0,4;;
D1 Облік і оподаткування;0,35;0,4;0,25;0,25;0,2;0,3;0,3;0,25;0,35;;
D2 Фінанси, банківська справа, страхування та фондовий ринок;0,35;0,4;0,25;0,25;0,2;0,3;0,3;0,25;0,35;;
D3 Менеджмент;0,35;0,4;0,25;0,25;0,2;0,3;0,3;0,25;0,35;;
D4 Публічне управління та адміністрування;0,35;0,4;0,25;0,25;0,2;0,3;0,3;0,25;0,35;;
D5 Маркетинг;0,35;0,4;0,25;0,25;0,2;0,3;0,3;0,25;0,35;;
D7 Торгівля;0,35;0,4;0,25;0,25;0,2;0,3;0,3;0,25;0,35;;
F2 Інженерія програмного забезпечення;0,3;0,5;0,2;0,3;0,2;0,4;0,3;0,2;0,2;;
"F3 Комп'ютерні науки	";0,3;0,5;0,2;0,3;0,2;0,4;0,3;0,2;0,2;;
F5 Кібербезпека та захист інформації;0,3;0,5;0,2;0,3;0,2;0,4;0,3;0,2;0,2;;
F6 Інформаційні системи та технології;0,3;0,5;0,2;0,3;0,2;0,4;0,3;0,2;0,2;;
F7 Комп'ютерна інженерія;0,3;0,5;0,2;0,3;0,2;0,4;0,3;0,2;0,2;;
G1 Хімічні технології та інженерія;0,3;0,5;0,2;0,3;0,3;0,3;0,5;0,2;0,2;;1,02
G3 Електрична інженерія;0,3;0,5;0,2;0,3;0,2;0,5;0,3;0,2;0,2;;1,02
G7 Автоматизація, комп'ютерно-інтегровані технології та робототехніка;0,3;0,5;0,2;0,3;0,2;0,5;0,3;0,2;0,2;;1,02
G8 Матеріалознавство;0,3;0,5;0,2;0,3;0,2;0,5;0,5;0,2;0,2;;1,02
G9 Прикладна механіка;0,3;0,5;0,2;0,3;0,2;0,5;0,3;0,2;0,2;;1,02
G13 Харчові технології;0,3;0,5;0,2;0,3;0,4;0,4;0,4;0,2;0,2;;1,02
G15 Технології легкої промисловості;0,3;0,5;0,2;0,3;0,2;0,5;0,5;0,2;0,2;;1,02
I10 Соціальна робота та консультування;0,35;0,4;0,25;0,35;0,5;0,4;0,4;0,25;0,25;;
J3 Туризм і рекреація;0,35;0,4;0,25;0,25;0,2;0,3;0,3;0,25;0,35;;
J8 Автомобільний транспорт;0,3;0,5;0,2;0,5;0,2;0,4;0,3;0,2;0,2;;1,02
